,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Mean over,idx_corrected,idx_main,outputwImg,predictionwImg,gold_referencewImg,tagwImg,outputwoImg,predictionwoImg,gold_referencewoImg,tagwoImg
0,59.601395,78.65062,83.54958,88.32766,96.21998,99.61442,100.886246,106.62157,113.53595,116.62944,106.36224,102.183716,107.50081,106.9278,106.60332,107.32994,108.30727,113.7927,114.93235,109.97117,112.916954,116.0277,122.35693,128.13226,137.56946,152.23123,178.81491,191.95854,206.96013,All tokens,40,156, A,10000,1,relative_position, 0,0,1,relative_position
1,91.28631,107.014114,110.99706,114.8934,121.53582,124.280045,125.06709,126.6003,132.83069,136.0251,122.35962,114.90254,120.30836,120.79087,119.74833,119.514565,120.87857,126.44796,127.95807,121.46328,123.102974,124.5245,130.11345,135.10724,145.24724,160.06053,186.57088,200.7037,211.65106,All tokens,7,39, 1,1,2,direct_attributes, C,10000,2,direct_attributes
2,94.80102,108.0255,111.49335,115.11034,122.122444,124.568565,125.75522,126.26848,134.22224,137.08241,124.01962,119.98427,126.77289,128.17107,130.07071,129.3559,130.54636,136.38438,138.06195,131.5003,133.86885,136.69997,144.25609,149.76866,160.82588,174.89795,199.8107,211.62512,224.7834,All tokens,1,13, 1,1,1,direct_attributes, A,10000,1,direct_attributes
3,56.776234,74.26202,78.62414,82.57133,89.92421,92.65138,93.59872,99.888626,105.502815,107.57243,98.60845,96.13334,101.04074,102.274254,102.82053,103.75665,105.29173,110.98357,113.22574,108.31347,110.74351,113.50341,119.50772,123.52699,132.2403,145.7385,170.14874,183.8169,199.7463,All tokens,17,112, A,10000,0,relative_position, 0,0,0,relative_position
4,57.601345,75.83991,79.823845,83.494545,90.4404,93.62103,96.10553,102.750885,110.86968,114.298225,104.10138,100.785904,106.85202,106.87046,108.973305,109.97184,111.058945,117.202095,120.073044,116.41131,118.49592,121.852356,128.30733,132.15067,139.67924,151.58185,173.84102,183.61224,201.07117,All tokens,15,109, 1,1,1,relative_position, 0,0,1,relative_position
5,72.888504,93.93867,99.568825,105.72228,113.91789,118.467896,120.46858,125.935715,134.28787,139.95914,125.99481,118.084946,123.730316,124.46014,123.399994,123.420425,123.727646,129.52728,130.6566,124.6917,127.07914,129.46364,134.41652,140.607,152.03725,166.59517,193.31744,209.38873,229.7638,All tokens,14,107, A,10000,0,relative_position, 0,0,0,relative_position
6,45.324192,63.320404,67.87703,72.22103,79.22724,81.94594,82.59298,89.57653,97.180405,99.27727,91.15382,88.88953,94.7862,95.12433,96.37615,97.80879,99.45177,105.14133,107.463745,103.75433,105.84077,109.38944,115.95321,119.913635,128.20676,139.41501,161.95529,175.39053,184.94878,All tokens,8,63, 0,0,0,direct_attributes, A,10000,0,direct_attributes
7,61.240814,79.18698,84.00379,88.937515,96.84515,100.218636,101.69603,108.74677,115.718285,119.15698,106.265,102.80509,106.71943,108.08925,107.94553,107.98388,108.430984,113.537094,115.999054,110.57513,112.88385,115.59878,120.417465,125.59568,132.43477,144.50034,168.39136,180.25493,190.16196,All tokens,6,38, 1,1,1,direct_attributes, B,10000,1,direct_attributes
8,74.7214,95.46896,100.09427,104.76943,112.28253,115.383514,116.80374,120.995346,124.134636,127.22241,114.22603,108.476845,112.77538,114.82231,115.95967,116.16045,117.49295,123.949394,126.67373,121.27831,123.40424,126.35912,130.75893,136.90474,148.4489,163.20927,188.01617,200.24696,220.0676,All tokens,34,148, A,10000,1,relative_position, 0,0,1,relative_position
9,56.737663,74.294914,79.13632,83.0716,90.02164,92.86439,94.16245,100.96816,107.33449,110.434326,102.02295,98.59166,104.5651,105.298164,105.20748,106.120895,107.67333,114.047295,116.13636,110.84293,113.23211,116.45217,121.551926,127.0409,136.42758,149.37268,175.48924,189.24734,202.4533,All tokens,5,36, 1,1,1,direct_attributes, 0,0,1,direct_attributes
10,56.75439,77.572395,82.03454,86.08898,93.27018,95.938034,98.09323,105.60942,113.16933,118.22716,110.06512,103.36462,108.91487,110.09426,112.007996,113.01688,114.27414,120.480995,122.959885,118.43735,121.591125,124.60146,131.89896,137.9083,148.81808,163.05981,189.73752,204.42447,219.77176,All tokens,27,134, 1,1,1,relative_position, 0,0,1,relative_position
