,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,Mean over,idx_corrected,idx_main,outputwImg,predictionwImg,gold_referencewImg,tagwImg,outputwoImg,predictionwoImg,gold_referencewoImg,tagwoImg
0,50.85627,79.3003,89.402176,95.89678,104.246574,106.24681,103.44855,108.77853,113.62104,116.854225,97.5453,101.073654,109.80365,113.899475,116.252495,118.598915,126.261734,132.89543,139.49236,136.2629,136.15274,140.49774,137.46266,139.64308,149.36563,156.39418,166.3874,174.90263,190.34676,All tokens,28,99, 0,0,0,table,1,1,0,table
1,51.10695,71.53862,79.12255,85.965546,95.060036,99.1649,98.067,102.26756,112.39449,114.79811,95.52775,94.61324,101.03909,103.10097,106.277664,107.713585,113.565575,120.57944,125.88379,121.10125,121.72263,124.510124,126.70315,130.68237,143.18452,154.09422,170.05693,174.32553,214.98347,All tokens,6,13, 1,1,1,chart,0,0,1,chart
2,18.827175,30.238098,33.379025,35.747913,40.61941,42.513912,43.37505,48.68606,56.986984,59.615208,56.153687,56.23099,61.161407,63.490566,67.27703,71.98363,77.45104,85.43846,91.14435,90.94178,93.94776,97.11597,96.44662,98.21811,102.44219,108.37773,121.12321,121.376434,138.71211,All tokens,70,217, 1,1,1,illusion,0,0,1,illusion
3,14.599636,22.234247,25.274511,28.460737,33.080975,35.540245,37.161903,43.0593,50.356388,53.65978,51.3999,52.845695,57.69937,59.7662,63.428802,65.10306,68.75309,72.53541,76.178246,75.877716,77.95863,81.19618,84.794754,84.86146,87.51618,91.83069,99.77709,95.98115,109.273384,All tokens,62,196, 1,1,1,illusion,0,0,1,illusion
4,58.900585,70.64879,74.340454,77.89164,84.2213,86.839676,86.4916,88.98559,97.37392,99.94104,86.013435,86.88346,91.581436,94.80862,100.764175,102.022766,107.25958,113.904144,118.94762,116.35265,116.47488,118.40148,118.51874,119.38082,125.296715,133.47266,148.67134,148.6573,158.10677,All tokens,57,180, 1,1,0,illusion,0,0,0,illusion
5,35.32906,52.371754,58.578224,64.8332,73.08103,76.94028,79.16882,84.2307,90.31496,92.70401,83.82458,81.2926,84.90691,85.53209,87.19607,88.55957,90.9083,94.36134,95.63977,92.83442,94.13461,96.18021,100.355835,102.12975,104.70729,110.20929,120.742966,124.59321,144.02501,All tokens,35,112, 1,1,1,map,0,0,1,map
6,34.91053,56.087696,62.761948,67.72765,75.170975,77.747246,77.57384,83.04151,87.762695,90.23545,76.34396,77.8339,84.10038,87.63799,89.7981,91.87786,98.45152,103.807236,107.669014,105.14939,104.97636,108.56006,103.45969,107.054794,109.60716,117.973465,125.96388,127.48202,142.77779,All tokens,26,92, 1,1,1,table,0,0,1,table
7,52.019547,78.73002,87.46566,93.749466,102.02008,103.91308,101.53729,106.43702,110.73485,111.91228,95.29435,96.565765,102.914024,106.01533,107.9585,110.473145,117.10273,124.42823,130.6085,127.96246,128.64359,132.54686,128.03993,126.03712,134.25739,140.55711,151.24179,157.42618,173.80229,All tokens,22,85, 1,1,1,table,0,0,1,table
8,42.524517,63.772373,70.36808,77.8577,87.16966,91.88566,94.798,99.30491,104.999535,107.2379,96.71866,96.05852,101.55821,102.59593,104.95914,105.40427,108.05435,111.48054,112.660835,109.18615,110.625595,114.36032,117.10714,120.42649,121.58243,124.760155,131.71751,133.46188,144.42154,All tokens,108,298, 0,0,0,ocr,1,1,0,ocr
9,65.54537,87.3934,94.61879,101.50506,110.08324,112.00954,108.092224,111.4258,115.80259,117.11891,102.29385,101.825836,108.64488,112.34326,115.96559,117.57075,124.41796,132.70691,138.48305,132.85362,131.19505,132.78763,135.19656,136.96669,146.2828,155.61742,171.59306,178.0209,202.72337,All tokens,4,7, 0,0,0,chart,1,1,0,chart
