,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,Mean over,idx_corrected,idx_main,outputwImg,predictionwImg,gold_referencewImg,tagwImg,outputwoImg,predictionwoImg,gold_referencewoImg,tagwoImg
0,43.28135,67.00174,72.101456,78.37048,86.78463,87.09991,88.948166,42.28468,44.828514,46.07455,43.12126,39.89406,41.777443,43.866306,45.720898,47.344902,49.296093,19.590916,22.441214,26.497143,34.30226,40.21137,44.703274,51.570377,62.883633,73.8677,79.53611,86.5423,90.784805,99.66068,107.44879,109.55689,114.371925,115.791756,110.33322,95.20547,92.89416,All tokens,28,75,"user
 QUESTION: According to the table, did Samsung sell most units of the smartphone in Q2 2020?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
0",0,0,table,"user
 QUESTION: According to the table, did Samsung sell most units of the smartphone in Q2 2020?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
1",1,0,table
1,38.512447,61.946453,68.98181,58.380966,60.841526,58.892242,58.95492,52.7776,57.678467,66.06773,65.78064,67.0383,71.14848,75.82859,79.74745,84.474525,90.04868,56.73242,61.517014,70.31462,77.61898,85.61035,92.66645,91.7488,103.4775,114.33366,120.31214,125.90629,128.92581,133.84543,140.74684,142.66202,148.90674,145.78835,135.58263,109.79333,120.234726,All tokens,6,16,"user
 QUESTION: From 2000-2050, is the population aged between 15 and 29 years in China the least in 2000?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
0",0,0,chart,"user
 QUESTION: From 2000-2050, is the population aged between 15 and 29 years in China the least in 2000?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
1",1,0,chart
2,18.260927,30.706234,33.451138,33.793102,35.996483,37.78921,40.829136,11.498383,11.511101,12.100613,11.118847,9.875679,9.882359,9.840428,10.448031,10.366759,11.319566,3.4725661,3.8109603,4.214963,5.09708,5.839928,6.734852,7.896229,10.999574,14.272128,17.467571,22.323624,27.451357,34.939182,41.700928,49.075172,57.125164,62.819645,63.10567,68.33082,72.07812,All tokens,70,190,"user
 QUESTION: Is the black solid circle on the left the same size as the black solid circle on the right?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
0",0,1,illusion,"user
 QUESTION: Is the black solid circle on the left the same size as the black solid circle on the right?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
1",1,1,illusion
3,23.578186,33.36618,37.388287,39.012016,40.873867,42.28131,44.81357,15.694696,15.642155,16.598982,15.811422,14.705152,15.309339,15.551863,17.25917,17.444456,19.80629,4.3380976,4.924296,5.688107,6.952784,8.045756,9.307967,11.005329,15.618217,20.162098,24.538836,31.485235,38.158356,47.634323,55.93079,62.714207,74.323944,81.731155,83.62839,82.88221,98.309006,All tokens,62,170,"user
 QUESTION: Is the top line longer than the bottom line?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
0",0,0,illusion,"user
 QUESTION: Is the top line longer than the bottom line?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
1",1,0,illusion
4,72.342255,106.72029,121.815414,129.43239,134.26758,124.798706,117.757805,56.613457,63.847866,68.46856,65.70577,61.60584,61.96462,63.83685,64.4571,67.008514,71.00963,19.638369,21.85218,25.25512,32.34239,36.432213,41.468456,48.014454,59.1528,70.99947,78.49173,86.84639,93.846436,103.65572,111.986534,113.692085,122.33254,122.441444,120.01031,106.23146,113.573,All tokens,57,162,"user
 QUESTION: Is the text in this figure made by Winston Churchill?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
1",1,1,ocr,"user
 QUESTION: Is the text in this figure made by Winston Churchill?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
0",0,1,ocr
5,35.430122,57.186127,60.86793,55.667706,62.701195,65.53646,72.44481,53.42088,56.705967,59.30975,55.464268,51.255398,52.573696,55.23839,57.386578,58.55566,61.6111,12.776239,14.741445,17.460405,22.193117,25.717665,28.969715,33.77354,43.587173,52.559055,57.913166,64.45802,69.91153,78.7631,86.59695,91.18038,94.8746,98.07345,97.92223,85.13646,95.24465,All tokens,35,91,"user
 QUESTION: According to the table, is the number of gold medals of Germany 8 in winter Olympics in 2022?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
0",0,0,table,"user
 QUESTION: According to the table, is the number of gold medals of Germany 8 in winter Olympics in 2022?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
1",1,0,table
6,30.511997,53.397728,59.561646,53.89461,61.829643,65.08046,72.75544,27.46572,28.876415,30.64932,28.378588,25.881626,26.552376,27.247017,28.730314,28.70249,30.07203,5.6298804,6.3448944,7.3302712,9.486361,10.858213,12.438465,15.285914,21.367544,28.318073,33.76119,40.06535,46.41091,55.20342,63.786945,71.18674,80.16367,85.276344,86.832016,84.43329,86.28382,All tokens,26,70,"user
 QUESTION: In 2023, did Syria have higher population growth than United Kingdom?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
1",1,1,table,"user
 QUESTION: In 2023, did Syria have higher population growth than United Kingdom?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
0",0,1,table
7,37.4126,59.80511,66.62771,71.751045,75.12446,73.16733,73.81341,54.281967,57.233162,59.770275,55.863117,53.21503,54.9763,57.83826,59.48708,62.76426,65.89017,17.164185,19.724728,22.80886,28.41485,32.645515,35.85747,41.047276,52.24062,61.522083,67.47372,75.41579,81.17965,89.937584,99.82996,106.52496,112.22741,114.88873,110.73985,102.0667,94.652145,All tokens,22,61,"user
 QUESTION: According to the image, in 2020, did China have a larger population aged between 90 and 94 years than those aged between 0 and 4 years?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
0",0,0,chart,"user
 QUESTION: According to the image, in 2020, did China have a larger population aged between 90 and 94 years than those aged between 0 and 4 years?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
1",1,0,chart
8,19.492111,28.233356,28.57296,27.021194,28.689596,27.454454,29.242035,7.9256554,8.027994,8.152066,7.5940347,6.956099,6.798281,6.72035,6.837056,6.7245703,6.985764,6.8352304,7.4329267,8.26612,9.966095,11.184457,12.419446,15.088977,20.718416,27.22058,32.104492,39.14998,44.992043,51.508743,59.059597,64.9148,72.31507,74.90723,75.12947,71.24106,61.75528,All tokens,108,297,"user
 QUESTION: According to the cake in the image, is this a black forest cake?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
1",1,1,ocr,"user
 QUESTION: According to the cake in the image, is this a black forest cake?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
0",0,1,ocr
9,38.51275,61.962757,69.006256,58.38185,60.84594,58.922802,58.981354,52.844585,57.755695,66.125694,65.83646,67.069695,71.15555,75.82979,79.730995,84.47062,90.05762,56.723843,61.51654,70.27859,77.65495,85.632195,92.67275,91.71161,103.43389,114.24972,120.2318,125.808655,128.85797,133.82558,140.752,142.7023,148.97102,145.83284,135.65045,110.034424,121.08988,All tokens,8,18,"user
 QUESTION: From 2000-2050, is the population aged between 15 and 29 years in China the least in 2030?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
0",0,0,chart,"user
 QUESTION: From 2000-2050, is the population aged between 15 and 29 years in China the least in 2030?
OPTIONS:
0: 0
1: 1

Answer with the correct option from 0 to 1. Only provide the numeric and nothing else 

Answer: 
assistant
1",1,0,chart
