,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,Mean over,idx_corrected,idx_main,outputwImg,predictionwImg,gold_referencewImg,tagwImg,outputwoImg,predictionwoImg,gold_referencewoImg,tagwoImg
0,17.987314,18.140438,18.338852,18.656075,19.153671,20.208052,21.6769,23.537811,26.02176,29.378288,35.035236,40.77516,45.546524,48.957863,49.746708,55.19755,58.37092,60.331913,61.51742,63.519722,65.11917,64.58641,65.37176,64.63805,56.135914,54.702644,56.217587,56.547226,58.97494,59.97732,60.318413,61.569397,53.56376,All tokens,81,88,"USER:  
 QUESTION: What is the color of the bottle cap?
0 blue
1 white
2 red
3 orange
Answer with the option's letter from the given choices directly.
Only provide answer and nothing else 


Answer:  ASSISTANT: 3",3,2,direct_attributes,"USER:  
 QUESTION: What is the color of the bottle cap?
0 blue
1 white
2 red
3 orange
Answer with the option's letter from the given choices directly.
Only provide answer and nothing else 


Answer:  ASSISTANT:",10000,2,direct_attributes
1,22.200024,22.399244,22.745369,23.11438,23.664808,25.047768,26.902115,28.982773,32.23805,36.628933,42.890713,49.022312,54.85506,58.980087,60.002724,68.46712,72.52233,75.13753,79.26295,82.1291,85.10432,84.21676,87.01124,86.97444,87.90023,86.288055,90.67181,92.62178,95.88594,96.11203,97.27795,97.13504,74.077675,All tokens,14,16,"USER:  
 QUESTION: What is the color of the bicycle?
0 blue
1 white
2 silver
3 red
Answer with the option's letter from the given choices directly.
Only provide answer and nothing else 


Answer:  ASSISTANT: 2",2,3,direct_attributes,"USER:  
 QUESTION: What is the color of the bicycle?
0 blue
1 white
2 silver
3 red
Answer with the option's letter from the given choices directly.
Only provide answer and nothing else 


Answer:  ASSISTANT:",10000,3,direct_attributes
2,14.13227,14.24791,14.477853,14.675661,14.955514,15.723479,16.819689,18.02876,20.142317,23.06246,27.4014,32.597202,36.804806,40.234203,42.328373,47.670826,50.544888,52.8338,56.022797,58.275246,59.889442,57.74617,58.11062,58.62397,59.02705,58.709263,61.352665,61.33778,63.52587,64.04622,64.28984,65.10405,54.41219,All tokens,3,4,"USER:  
 QUESTION: What is the pose of the woman with yellow backpack?
0 walking
1 running
2 squatting
3 standing
Answer with the option's letter from the given choices directly.
Only provide answer and nothing else 


Answer:  ASSISTANT: 3",3,2,direct_attributes,"USER:  
 QUESTION: What is the pose of the woman with yellow backpack?
0 walking
1 running
2 squatting
3 standing
Answer with the option's letter from the given choices directly.
Only provide answer and nothing else 


Answer:  ASSISTANT:",10000,2,direct_attributes
3,12.704208,12.81256,13.317193,13.458056,13.695774,14.417397,15.534777,17.220171,19.53568,22.66839,26.85221,31.434978,35.66784,38.67165,40.29982,45.255356,47.520023,48.78312,50.555916,51.08565,52.617233,51.897926,52.73033,52.960106,53.227444,52.264725,55.016792,55.183605,56.786438,56.789124,56.939175,57.341988,46.18191,All tokens,94,105,"USER:  
 QUESTION: Is the cyclist on the left or right side of the sculpture?
0 right
1 left
Answer with the option's letter from the given choices directly.
Only provide answer and nothing else 


Answer:  ASSISTANT: 1",1,0,relative_position,"USER:  
 QUESTION: Is the cyclist on the left or right side of the sculpture?
0 right
1 left
Answer with the option's letter from the given choices directly.
Only provide answer and nothing else 


Answer:  ASSISTANT:",10000,0,relative_position
4,5.3955197,5.4323335,5.6545253,5.6788297,5.685609,5.8496766,6.113309,6.6507974,7.495507,8.8425455,11.0432825,14.083193,16.853655,19.432512,22.285877,25.886744,28.930502,31.54506,33.988758,36.03961,37.769375,38.516422,39.88697,40.393177,41.447693,40.552788,42.889843,43.220192,44.64458,44.88352,44.84123,45.339554,39.033745,All tokens,35,40,"USER:  
 QUESTION: What is the color of the van?
0 red
1 white
2 silver
3 black
Answer with the option's letter from the given choices directly.
Only provide answer and nothing else 


Answer:  ASSISTANT: 1",1,0,direct_attributes,"USER:  
 QUESTION: What is the color of the van?
0 red
1 white
2 silver
3 black
Answer with the option's letter from the given choices directly.
Only provide answer and nothing else 


Answer:  ASSISTANT:",10000,0,direct_attributes
5,8.8185215,8.889319,9.273779,9.36038,9.46086,9.834736,10.446666,11.531136,13.158477,15.5785265,19.070936,23.317556,26.85011,29.78249,32.12974,35.907463,38.22515,39.81091,41.42521,42.000374,42.88755,42.852077,43.177967,44.00842,43.331543,42.481174,44.444088,44.764748,45.93434,45.91325,45.953278,46.467613,38.337322,All tokens,31,34,"USER:  
 QUESTION: What is the color of the flower?
0 pink
1 yellow
2 red
3 white
Answer with the option's letter from the given choices directly.
Only provide answer and nothing else 


Answer:  ASSISTANT: 2",2,3,direct_attributes,"USER:  
 QUESTION: What is the color of the flower?
0 pink
1 yellow
2 red
3 white
Answer with the option's letter from the given choices directly.
Only provide answer and nothing else 


Answer:  ASSISTANT:",10000,3,direct_attributes
6,11.2716055,11.361788,11.743864,11.853027,12.011845,12.609648,13.511245,14.873234,16.885244,19.67306,23.717016,28.262438,32.40246,35.523663,36.906834,41.994846,44.533833,46.279243,48.398224,49.49554,51.607258,51.45601,52.03437,51.690853,52.375072,51.54564,53.922607,54.046806,55.816097,56.174366,56.537167,57.14549,45.88354,All tokens,28,31,"USER:  
 QUESTION: What is the color of the man's cap?
0 yellow
1 red
2 gray
3 green
Answer with the option's letter from the given choices directly.
Only provide answer and nothing else 


Answer:  ASSISTANT: 2",2,2,direct_attributes,"USER:  
 QUESTION: What is the color of the man's cap?
0 yellow
1 red
2 gray
3 green
Answer with the option's letter from the given choices directly.
Only provide answer and nothing else 


Answer:  ASSISTANT:",10000,2,direct_attributes
7,13.481486,13.595685,14.039969,14.238729,14.486609,15.221112,16.337238,18.084461,20.681417,24.008522,28.672707,33.477936,37.876648,41.064323,42.485687,47.991962,50.674267,52.377697,54.06064,54.385643,56.609543,55.931034,57.146137,56.849323,57.638218,56.86231,59.72683,59.83055,61.427433,61.374763,61.17803,61.12898,48.45422,All tokens,17,19,"USER:  
 QUESTION: What is the color of the shovel?
0 yellow
1 red
2 blue
3 black
Answer with the option's letter from the given choices directly.
Only provide answer and nothing else 


Answer:  ASSISTANT: 3",3,2,direct_attributes,"USER:  
 QUESTION: What is the color of the shovel?
0 yellow
1 red
2 blue
3 black
Answer with the option's letter from the given choices directly.
Only provide answer and nothing else 


Answer:  ASSISTANT:",10000,2,direct_attributes
8,11.218106,11.299233,11.693019,11.7396965,11.811595,12.23749,12.978879,14.146364,15.915248,18.561565,22.23133,26.757795,30.909128,34.27875,36.92619,42.1887,45.411377,47.79431,50.43633,52.42357,54.431553,53.882893,55.301567,55.56907,56.566727,55.387302,58.217808,58.887215,60.597683,60.749805,60.794777,60.88277,49.185265,All tokens,111,152,"USER:  
 QUESTION: Is the dog on the left or right side of the crosswalk?
0 right
1 left
Answer with the option's letter from the given choices directly.
Only provide answer and nothing else 


Answer:  ASSISTANT: 0",0,0,relative_position,"USER:  
 QUESTION: Is the dog on the left or right side of the crosswalk?
0 right
1 left
Answer with the option's letter from the given choices directly.
Only provide answer and nothing else 


Answer:  ASSISTANT:",10000,0,relative_position
9,11.078821,11.163314,11.586292,11.717874,11.875075,12.404091,13.292988,14.692374,16.558958,19.246819,23.184717,27.594381,31.22906,34.111797,36.09171,40.204876,42.830635,44.217922,45.679863,45.615482,46.458576,46.70756,47.510574,48.417774,47.989082,46.76967,49.16606,49.587906,51.010094,50.955563,51.296356,51.81273,41.072224,All tokens,13,15,"USER:  
 QUESTION: What is the color of the little girl's shirt?
0 yellow
1 pink
2 white
3 black
Answer with the option's letter from the given choices directly.
Only provide answer and nothing else 


Answer:  ASSISTANT: 1",1,1,direct_attributes,"USER:  
 QUESTION: What is the color of the little girl's shirt?
0 yellow
1 pink
2 white
3 black
Answer with the option's letter from the given choices directly.
Only provide answer and nothing else 


Answer:  ASSISTANT:",10000,1,direct_attributes
